BDU,VEDAS
BDU:2025-10594,0.4342748
BDU:2025-10593,0.1081422
BDU:2025-10592,0.1432689
BDU:2025-10591,0.1440114
BDU:2025-10590,0.1433539
BDU:2025-10589,0.1445957
BDU:2025-10588,0.142467
BDU:2025-10587,0.1432456
BDU:2025-10586,0.1543971
BDU:2025-10585,0.1431829
BDU:2025-10584,0.1443519
BDU:2025-10583,0.1428191
BDU:2025-10582,0.1433539
BDU:2025-10581,0.1438212
BDU:2025-10580,0.1437391
BDU:2025-10579,0.1435164
BDU:2025-10578,0.1418586
BDU:2025-10577,0.143843
BDU:2025-10576,0.1421546
BDU:2025-10575,0.1606903
BDU:2025-10574,0.1431082
BDU:2025-10573,0.2916449
BDU:2025-10572,0.144102
BDU:2025-10571,0.211916
BDU:2025-10570,0.1438227
BDU:2025-10569,0.2124977
BDU:2025-10568,0.1447161
BDU:2025-10567,0.1439911
BDU:2025-10566,0.212855
BDU:2025-10565,0.1419092
BDU:2025-10564,0.2133842
BDU:2025-10563,0.212855
BDU:2025-10562,0.2125601
BDU:2025-10561,0.049066
BDU:2025-10560,0.0525161
BDU:2025-10559,0.049066
BDU:2025-10558,0.4524604
BDU:2025-10557,0.4525475
BDU:2025-10556,0.4525404
BDU:2025-10555,0.4525616
BDU:2025-10554,0.4525475
BDU:2025-10553,0.2071484
BDU:2025-10552,0.2074627
BDU:2025-10551,0.2071484
BDU:2025-10550,0.19034
BDU:2025-10543,0.4325991
BDU:2025-10542,0.2777386
BDU:2025-10541,0.5469917
BDU:2025-10540,0.2165012
BDU:2025-10539,0.2324204
BDU:2025-10538,0.8053888
BDU:2025-10537,0.4400117
BDU:2025-10536,0.2328736
BDU:2025-10535,0.2311982
BDU:2025-10534,0.2140313
BDU:2025-10533,0.2140313
BDU:2025-10532,0.2292297
BDU:2025-10531,0.2276499
BDU:2025-10530,0.2273687
BDU:2025-10529,0.2320123
BDU:2025-10528,0.2320123
BDU:2025-10527,0.2320133
BDU:2025-10526,0.2318159
BDU:2025-10524,0.9358956
BDU:2025-10523,0.044992
BDU:2025-10522,0.044992
BDU:2025-10521,0.044992
BDU:2025-10520,0.044992
BDU:2025-10519,0.044992
BDU:2025-10518,0.044992
BDU:2025-10517,0.044992
BDU:2025-10516,0.185152
BDU:2025-10515,0.3719833
BDU:2025-10514,0.4528702
BDU:2025-10513,0.6838955
BDU:2025-10512,0.6838955
BDU:2025-10511,0.6838955
BDU:2025-10510,0.6838955
BDU:2025-10509,0.2204506
BDU:2025-10508,0.5288873
BDU:2025-10507,0.203962
BDU:2025-10506,0.5250905
BDU:2025-10505,0.4877073
BDU:2025-10504,0.5970104
BDU:2025-10503,0.2030564
BDU:2025-10502,0.2181189
BDU:2025-10501,0.5312291
BDU:2025-10500,0.5250905
BDU:2025-10499,0.5250905
